time,connect,request 
10,8,80 
20,12.2,122 
30,8.4,84 
40,7.7,77 
50,12,120 
60,7.5,75 
70,7.8,78 
80,11.4,114 
90,9.9,99 
100,12.6,126 
110,7,70 
120,14.7,142.6 
130,43.6,440.4 
140,41.5,415 
150,67.4,674 
160,36.2,362 
170,42,420 
180,57,570 
190,45.8,458 
200,63.7,548.4 
210,42.5,513.6 
220,45.6,456 
230,59.1,591 
240,42,420 
250,30.5,305 
260,14.7,147 
270,24.4,213.3 
280,17.7,207.7 
290,16.9,169 
300,24.9,249 
310,15.4,154 
320,25.4,254 
330,18,180 
340,15.4,154 
350,24.5,245 
360,16.6,166 
364,3.5,35 
