time,session 
10,1229.8144673951685 
20,1133.7818193211558 
30,1121.6854338568096 
40,1243.0052212497812 
50,1125.1191846882225 
60,1163.2552202745505 
70,1164.7928470166246 
80,1220.3783646285365 
90,1192.9901852450985 
100,1101.0721235917536 
110,1171.837229967784 
120,1323.2508913583742 
130,1172.9998391989282 
140,1046.3967130319966 
150,1130.6294835663884 
160,1034.1810277150262 
170,1174.5915280352415 
180,1138.1264515424048 
190,1207.8092164735415 
200,1123.422487028538 
210,1101.0484073260106 
220,1226.2922619656183 
230,1084.1408259450448 
240,1163.2588101041142 
250,1173.818966333249 
260,1204.5669942290147 
270,1071.6573500772863 
280,1236.1418833356236 
290,1119.0692147627112 
300,1222.8832272391276 
310,1230.3632958753783 
320,1189.7364885437098 
330,1131.6462901589775 
340,1195.3167131324924 
350,1169.8659622790778 
360,1226.989500321716 
364,784.1491282951145 
