time,size_sent,size_rcv 
10,46.875,531.25 
20,118.359375,1341.40625 
30,167.578125,1899.21875 
40,212.6953125,2410.546875 
50,283.0078125,3207.421875 
60,326.953125,3705.46875 
70,372.65625,4223.4375 
80,439.453125,4980.46875 
90,497.4609375,5637.890625 
100,571.2890625,6474.609375 
110,612.3046875,6939.453125 
120,698.4375,7886.40625 
130,953.90625,10810.9375 
140,1197.0703125,13566.796875 
150,1591.9921875,18042.578125 
160,1804.1015625,20446.484375 
170,2050.1953125,23235.546875 
180,2384.1796875,27020.703125 
190,2652.5390625,30062.109375 
200,2980.83984375,33703.828125 
210,3274.8046875,37114.453125 
220,3541.9921875,40142.578125 
230,3888.28125,44067.1875 
240,4134.375,46856.25 
250,4313.0859375,48881.640625 
260,4399.21875,49857.8125 
270,4527.0703125,51274.2578125 
280,4645.8984375,52653.515625 
290,4744.921875,53775.78125 
300,4890.8203125,55429.296875 
310,4981.0546875,56451.953125 
320,5129.8828125,58138.671875 
330,5235.3515625,59333.984375 
340,5325.5859375,60356.640625 
350,5469.140625,61983.59375 
360,5566.40625,63085.9375 
364,5586.9140625,63318.359375 
