time,page 
10,230.9340292358397 
20,216.80564104924437 
30,238.52698800223203 
40,249.3948407061689 
50,211.4770829264323 
60,233.24351334635423 
70,212.8053485576925 
80,210.87799222176545 
90,212.94670903369658 
100,210.25157199435773 
110,219.0264585658482 
120,209.649222995924 
130,248.50931237937104 
140,247.43589743740662 
150,268.5073410260572 
160,239.3426196019292 
170,265.68256394159215 
180,244.442505439624 
190,284.92465052708764 
200,283.1590220022171 
210,227.15215056707535 
220,318.0628283584326 
230,234.18130188504637 
240,253.00160545712416 
250,260.4610690957995 
260,232.4379637011054 
270,262.7408089581868 
280,195.41323169309703 
290,230.9495176416882 
300,232.8603998023345 
310,241.4377049830053 
320,221.26217492771895 
330,222.35878757052944 
340,234.68409820160355 
350,228.0313200534119 
360,262.06267119258246 
364,292.2068666294644 
