time,load@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,1.328125 
10,1.2109375 
20,1.01953125 
30,0.87109375 
40,0.828125 
50,0.69921875 
60,0.671875 
70,0.5703125 
80,0.62890625 
90,0.53125 
110,0.5703125 
120,0.48046875 
130,0.62890625 
140,0.53125 
150,0.44921875 
160,0.37890625 
170,0.37890625 
180,0.3203125 
190,0.26953125 
200,0.23046875 
210,0.19140625 
220,0.23828125 
240,0.26171875 
250,0.21875 
260,0.19140625 
270,0.16015625 
280,0.12890625 
290,0.109375 
300,0.3203125 
310,0.33984375 
320,0.359375 
330,0.37890625 
340,0.3984375 
360,0.328125 
364,0.578125 
