time,error_connection_closed 
20,5.8 
30,121.6 
40,60.8 
50,29.6 
60,58.1 
70,102.8 
80,53.5 
90,54.3 
100,76.8 
110,38.4 
120,49.5 
130,35.6 
140,21.5 
150,9.9 
160,0 
170,0 
180,72 
190,0 
200,0 
210,11 
220,17.5 
230,3.2 
240,0 
250,84.8 
260,57.6 
270,28.8 
280,42.4 
290,43.9 
300,22.4 
310,76.8 
320,6.4 
330,0 
340,0 
350,0 
360,0 
370,0 
380,3.9 
390,0 
400,14.3 
410,0 
420,0 
430,0 
440,0 
450,20.9 
460,24.9 
470,52.7 
480,0 
490,0 
500,61.5 
510,38.4 
520,28.4 
530,0 
540,0 
550,48 
560,91.4 
570,20.3 
580,0 
590,93.7 
600,78.5 
610,152 
620,48.1 
630,92 
640,99.2 
650,185.1 
660,75.1 
670,47.7 
680,0 
690,0 
700,0 
710,0 
720,0 
730,61.2 
740,0 
750,73.8 
760,0 
770,28.9 
780,88.5 
790,6.4 
800,0 
810,36.5 
820,48.9 
830,9.6 
840,57 
850,102.4 
860,25.6 
870,105.5 
880,53.3 
890,81 
900,38.4 
910,41.4 
920,21.4 
930,6.4 
940,23.7 
950,80 
960,74.4 
970,150 
980,68 
990,32 
1000,19.2 
1010,3.2 
1020,61.6 
1030,8.2 
1040,120.5 
1050,47.5 
1060,25.6 
1070,12.9 
1080,106 
1090,69.2 
1100,0 
1110,0 
1120,0 
1130,0 
1140,0 
1150,36.6 
1160,0 
1170,83.2 
1180,54.3 
1190,39.3 
1200,115.2 
1210,0 
1220,0 
1230,114 
1240,74.3 
1250,104.6 
1260,18.2 
1270,0 
1280,60.5 
1290,6.4 
1300,0 
1310,0 
1320,0 
1330,0 
1340,98.7 
1350,86.5 
1360,128.5 
1370,92.4 
1380,6.4 
1390,116.5 
1400,116.2 
1410,16.4 
1420,0 
1430,0 
1440,65 
1450,54.2 
1460,33.1 
1470,97.4 
1480,19.2 
1490,0 
1500,0 
1510,35.4 
1520,0 
1530,0 
1540,45.4 
1549,19.2 
