time,session 
10,100 
20,94.2 
30,145 
40,100 
50,131.2 
60,87.5 
70,190.9 
80,144.1 
90,69.5 
100,199.2 
110,111.1 
120,126.3 
130,101 
140,200 
150,100 
160,200 
170,100 
180,102.1 
190,197.9 
200,100 
210,89.2 
220,207.6 
230,103.2 
240,100 
250,169.1 
260,130.9 
270,200 
280,57.6 
290,177.8 
300,164.6 
310,55.3 
320,241.5 
330,103.2 
340,100.1 
350,200 
360,100 
370,100 
380,200 
390,106.2 
400,193.8 
410,200 
420,100 
430,129.2 
440,170.8 
450,83.2 
460,216.8 
470,60.8 
480,239.2 
490,100 
500,153.9 
510,146.1 
520,100 
530,200 
540,100 
550,152 
560,148 
570,179.7 
580,120.3 
590,49.2 
600,172.3 
610,201.7 
620,118.7 
630,158.1 
640,77.6 
650,142.4 
660,170 
670,210 
680,100 
690,100 
700,200 
710,100 
720,145.1 
730,154.9 
740,100 
750,200 
760,100 
770,200 
780,194.4 
790,105.6 
800,100 
810,200 
820,119.2 
830,180.8 
840,43 
850,240.6 
860,100.5 
870,167.7 
880,142.9 
890,105.3 
900,128.3 
910,156.9 
920,114.8 
930,200 
940,100 
950,200 
960,41.3 
970,252.3 
980,106.4 
990,168 
1000,132 
1010,100 
1020,200 
1030,100 
1040,174.4 
1050,125.6 
1060,200 
1070,87.1 
1080,149.3 
1090,163.6 
1100,200.1 
1110,100 
1120,151.4 
1130,148.6 
1140,100 
1150,200 
1160,100 
1170,149.6 
1180,150.4 
1190,100 
1200,200 
1210,200 
1220,100 
1230,184.1 
1240,56.9 
1250,226.4 
1260,132.6 
1270,100 
1280,192.2 
1290,122.8 
1300,185 
1310,200 
1320,100 
1330,100 
1340,175.5 
1350,124.5 
1360,188.7 
1370,163.3 
1380,123.7 
1390,124.3 
1400,174.5 
1410,125.1 
1420,200.4 
1430,100 
1440,151.5 
1450,148.5 
1460,174.4 
1470,125.6 
1480,180.8 
1490,119.2 
1500,100 
1510,191 
1520,109 
1530,200 
1540,121.2 
1549,217.3 
