time,users_count,finish_users_count 
0,61.8,0 
10,138.2,100 
20,100,94.2 
30,178.2,145 
40,121.8,100 
50,100,131.2 
60,177.5,87.5 
70,122.5,190.9 
80,100,144.1 
90,139.2,69.5 
100,160.8,199.2 
110,100,111.1 
120,153.4,126.3 
130,146.6,101 
140,102.1,200 
150,189.4,100 
160,108.5,200 
170,100.2,100 
180,189.2,102.1 
190,110.6,197.9 
200,100,100 
210,182.2,89.2 
220,117.8,207.6 
230,121.8,103.2 
240,178.2,100 
250,107.5,169.1 
260,192.5,130.9 
270,100,200 
280,135.6,57.6 
290,164.4,177.8 
300,100,164.6 
310,175.9,55.3 
320,124.1,241.5 
330,100.1,103.2 
340,193.6,100.1 
350,106.4,200 
360,114.4,100 
370,185.6,100 
380,139.7,200 
390,160.3,106.2 
400,163.4,193.8 
410,136.6,200 
420,119.1,100 
430,180.9,129.2 
440,100,170.8 
450,200,83.2 
460,100,216.8 
470,182.8,60.8 
480,117.2,239.2 
490,149.2,100 
500,150.8,153.9 
510,131.2,146.1 
520,168.8,100 
530,100,200 
540,200,100 
550,100,152 
560,194.1,148 
570,105.9,179.7 
580,106.8,120.3 
590,193.2,49.2 
600,100,172.3 
610,200,201.7 
620,100,118.7 
630,173.3,158.1 
640,126.7,77.6 
650,100,142.4 
660,169,170 
670,131,210 
680,100,100 
690,200,100 
700,100,200 
710,176.6,100 
720,123.4,145.1 
730,141.4,154.9 
740,158.6,100 
750,121.5,200 
760,178.5,100 
770,109.5,200 
780,190.5,194.4 
790,105.3,105.6 
800,194.7,100 
810,141.9,200 
820,158.1,119.2 
830,100,180.8 
840,200,43 
850,100,240.6 
860,174.5,100.5 
870,125.5,167.7 
880,100,142.9 
890,159.1,105.3 
900,140.9,128.3 
910,104.5,156.9 
920,195.5,114.8 
930,100,200 
940,200,100 
950,100,200 
960,200,41.3 
970,100,252.3 
980,197.1,106.4 
990,102.9,168 
1000,117.1,132 
1010,182.9,100 
1020,100,200 
1030,200,100 
1040,100,174.4 
1050,157.7,125.6 
1060,142.3,200 
1070,151.9,87.1 
1080,148.1,149.3 
1090,135.7,163.6 
1100,164.4,200.1 
1110,129.6,100 
1120,170.4,151.4 
1130,100,148.6 
1140,200,100 
1150,100,200 
1160,200,100 
1170,100,149.6 
1180,139.7,150.4 
1190,160.3,100 
1200,178.5,200 
1210,121.5,200 
1220,200,100 
1230,100,184.1 
1240,179.4,56.9 
1250,120.6,226.4 
1260,131.1,132.6 
1270,168.9,100 
1280,144,192.2 
1290,156,122.8 
1300,159.8,185 
1310,140.2,200 
1320,184.4,100 
1330,115.6,100 
1340,200,175.5 
1350,100,124.5 
1360,100,188.7 
1370,200,163.3 
1380,100,123.7 
1390,200,124.3 
1400,100,174.5 
1410,189.1,125.1 
1420,110.9,200.4 
1430,200,100 
1440,100,151.5 
1450,200,148.5 
1460,100,174.4 
1470,200,125.6 
1480,100,180.8 
1490,152.9,119.2 
1500,147.1,100 
1510,133.9,191 
1520,166.1,109 
1530,115.3,200 
1540,184.7,121.2 
1549,38.5,217.3 
