time,users_count,finish_users_count 
0,618,0 
10,2000,1000 
20,3000,1942 
30,4782,3392 
40,6000,4392 
50,7000,5704 
60,8775,6579 
70,10000,8488 
80,11000,9929 
90,12392,10624 
100,14000,12616 
110,15000,13727 
120,16534,14990 
130,18000,16000 
140,19021,18000 
150,20915,19000 
160,22000,21000 
170,23002,22000 
180,24894,23021 
190,26000,25000 
200,27000,26000 
210,28822,26892 
220,30000,28968 
230,31218,30000 
240,33000,31000 
250,34075,32691 
260,36000,34000 
270,37000,36000 
280,38356,36576 
290,40000,38354 
300,41000,40000 
310,42759,40553 
320,44000,42968 
330,45001,44000 
340,46937,45001 
350,48001,47001 
360,49145,48001 
370,51001,49001 
380,52398,51001 
390,54001,52063 
400,55635,54001 
410,57001,56001 
420,58192,57001 
430,60001,58293 
440,61001,60001 
450,63001,60833 
460,64001,63001 
470,65829,63609 
480,67001,66001 
490,68493,67001 
500,70001,68540 
510,71313,70001 
520,73001,71001 
530,74001,73001 
540,76001,74001 
550,77001,75521 
560,78942,77001 
570,80001,78798 
580,81069,80001 
590,83001,80493 
600,84001,82216 
610,86001,84233 
620,87001,85420 
630,88734,87001 
640,90001,87777 
650,91001,89201 
660,92691,90901 
670,94001,93001 
680,95001,94001 
690,97001,95001 
700,98001,97001 
710,99767,98001 
720,101001,99452 
730,102415,101001 
740,104001,102001 
750,105216,104001 
760,107001,105001 
770,108096,107001 
780,110001,108945 
790,111054,110001 
800,113001,111001 
810,114420,113001 
820,116001,114193 
830,117001,116001 
840,119001,116431 
850,120001,118837 
860,121746,119842 
870,123001,121519 
880,124001,122948 
890,125592,124001 
900,127001,125284 
910,128046,126853 
920,130001,128001 
930,131001,130001 
940,133001,131001 
950,134001,133001 
960,136001,133414 
970,137001,135937 
980,138972,137001 
990,140001,138681 
1000,141172,140001 
1010,143001,141001 
1020,144001,143001 
1030,146001,144001 
1040,147001,145745 
1050,148578,147001 
1060,150001,149001 
1070,151520,149872 
1080,153001,151365 
1090,154358,153001 
1100,156002,155002 
1110,157298,156002 
1120,159002,157516 
1130,160002,159002 
1140,162002,160002 
1150,163002,162002 
1160,165002,163002 
1170,166002,164498 
1180,167399,166002 
1190,169002,167002 
1200,170787,169002 
1210,172002,171002 
1220,174002,172002 
1230,175002,173843 
1240,176796,174412 
1250,178002,176676 
1260,179313,178002 
1270,181002,179002 
1280,182442,180924 
1290,184002,182152 
1300,185600,184002 
1310,187002,186002 
1320,188846,187002 
1330,190002,188002 
1340,192002,189757 
1350,193002,191002 
1360,194002,192889 
1370,196002,194522 
1380,197002,195759 
1390,199002,197002 
1400,200002,198747 
1410,201893,199998 
1420,203002,202002 
1430,205002,203002 
1440,206002,204517 
1450,208002,206002 
1460,209002,207746 
1470,211002,209002 
1480,212002,210810 
1490,213531,212002 
1500,215002,213002 
1510,216341,214912 
1520,218002,216002 
1530,219155,218002 
1540,221002,219214 
1549,221387,221387 
