time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2725.609375 
10,2714.04296875 
20,2723.81640625 
30,2716.6953125 
40,2705.86328125 
50,2700.58984375 
60,2692.0859375 
70,2701.83203125 
80,2705.37109375 
100,2703.4140625 
110,2711.41796875 
120,2701.55078125 
130,2700.99609375 
140,2701.140625 
150,2697.734375 
160,2692.125 
170,2693.6796875 
180,2690.76171875 
190,2690.46875 
200,2692.32421875 
220,2693.4609375 
230,2694.1953125 
240,2686.4921875 
250,2696.1171875 
260,2701.05078125 
270,2692.6171875 
280,2698.5546875 
290,2707.67578125 
300,2700.40625 
310,2702.14453125 
320,2693.2421875 
330,2693.3984375 
350,2696.40234375 
360,2705.87109375 
370,2709.06640625 
380,2708.9140625 
390,2713.40625 
400,2693.87890625 
410,2682.41015625 
420,2694.390625 
430,2711.6484375 
440,2705.0 
450,2703.72265625 
470,2714.99609375 
480,2702.0625 
490,2700.21484375 
500,2697.6015625 
510,2688.109375 
520,2699.69921875 
530,2700.828125 
540,2698.41796875 
550,2696.04296875 
560,2695.9375 
570,2708.48046875 
580,2702.01171875 
600,2692.6953125 
610,2699.81640625 
620,2697.80859375 
630,2700.65625 
640,2694.390625 
650,2709.1015625 
660,2698.38671875 
670,2707.12109375 
680,2704.4375 
690,2704.77734375 
700,2697.58984375 
720,2692.7734375 
730,2693.390625 
740,2696.83203125 
750,2700.81640625 
760,2692.67578125 
770,2694.546875 
780,2699.15234375 
790,2696.53125 
800,2691.5 
810,2695.87890625 
820,2691.765625 
840,2689.9453125 
850,2705.05859375 
860,2694.16796875 
870,2690.17578125 
880,2695.71875 
890,2695.0234375 
900,2702.78515625 
910,2691.47265625 
920,2682.4609375 
930,2699.5625 
940,2699.48828125 
960,2690.74609375 
970,2694.0625 
980,2689.953125 
990,2701.08984375 
1000,2710.27734375 
1010,2701.1875 
1020,2698.44140625 
1030,2693.640625 
1040,2703.50390625 
1050,2699.125 
1060,2698.09375 
1070,2703.80859375 
1090,2707.8828125 
1100,2700.37890625 
1110,2682.28125 
1120,2690.30859375 
1130,2688.171875 
1140,2694.4296875 
1150,2698.06640625 
1160,2701.41796875 
1170,2695.9296875 
1180,2691.75 
1190,2694.86328125 
1210,2698.98046875 
1220,2701.17578125 
1230,2694.73828125 
1240,2694.28515625 
1250,2702.2734375 
1260,2698.36328125 
1270,2699.98828125 
1280,2691.66015625 
1290,2694.34375 
1300,2694.9140625 
1310,2697.953125 
1330,2693.76953125 
1340,2690.6484375 
1350,2675.2421875 
1360,2703.5 
1370,2697.31640625 
1380,2704.078125 
1390,2700.16796875 
1400,2695.578125 
1410,2691.3828125 
1420,2703.8046875 
1430,2691.69140625 
1440,2687.5703125 
1460,2709.828125 
1470,2707.64453125 
1480,2707.31640625 
1490,2701.92578125 
1500,2694.63671875 
1510,2680.84375 
1520,2697.33203125 
1530,2691.39453125 
1540,2690.41015625 
1549,2690.48046875 
