time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2725.609375 
10,2714.04296875 
20,2714.04296875 
30,2714.04296875 
40,2705.86328125 
50,2700.58984375 
60,2692.0859375 
70,2692.0859375 
80,2692.0859375 
100,2692.0859375 
110,2692.0859375 
120,2692.0859375 
130,2692.0859375 
140,2692.0859375 
150,2692.0859375 
160,2692.0859375 
170,2692.0859375 
180,2690.76171875 
190,2690.46875 
200,2690.46875 
220,2690.46875 
230,2690.46875 
240,2686.4921875 
250,2686.4921875 
260,2686.4921875 
270,2686.4921875 
280,2686.4921875 
290,2686.4921875 
300,2686.4921875 
310,2686.4921875 
320,2686.4921875 
330,2686.4921875 
350,2686.4921875 
360,2686.4921875 
370,2686.4921875 
380,2686.4921875 
390,2686.4921875 
400,2686.4921875 
410,2682.41015625 
420,2682.41015625 
430,2682.41015625 
440,2682.41015625 
450,2682.41015625 
470,2682.41015625 
480,2682.41015625 
490,2682.41015625 
500,2682.41015625 
510,2682.41015625 
520,2682.41015625 
530,2682.41015625 
540,2682.41015625 
550,2682.41015625 
560,2682.41015625 
570,2682.41015625 
580,2682.41015625 
600,2682.41015625 
610,2682.41015625 
620,2682.41015625 
630,2682.41015625 
640,2682.41015625 
650,2682.41015625 
660,2682.41015625 
670,2682.41015625 
680,2682.41015625 
690,2682.41015625 
700,2682.41015625 
720,2682.41015625 
730,2682.41015625 
740,2682.41015625 
750,2682.41015625 
760,2682.41015625 
770,2682.41015625 
780,2682.41015625 
790,2682.41015625 
800,2682.41015625 
810,2682.41015625 
820,2682.41015625 
840,2682.41015625 
850,2682.41015625 
860,2682.41015625 
870,2682.41015625 
880,2682.41015625 
890,2682.41015625 
900,2682.41015625 
910,2682.41015625 
920,2682.41015625 
930,2682.41015625 
940,2682.41015625 
960,2682.41015625 
970,2682.41015625 
980,2682.41015625 
990,2682.41015625 
1000,2682.41015625 
1010,2682.41015625 
1020,2682.41015625 
1030,2682.41015625 
1040,2682.41015625 
1050,2682.41015625 
1060,2682.41015625 
1070,2682.41015625 
1090,2682.41015625 
1100,2682.41015625 
1110,2682.28125 
1120,2682.28125 
1130,2682.28125 
1140,2682.28125 
1150,2682.28125 
1160,2682.28125 
1170,2682.28125 
1180,2682.28125 
1190,2682.28125 
1210,2682.28125 
1220,2682.28125 
1230,2682.28125 
1240,2682.28125 
1250,2682.28125 
1260,2682.28125 
1270,2682.28125 
1280,2682.28125 
1290,2682.28125 
1300,2682.28125 
1310,2682.28125 
1330,2682.28125 
1340,2682.28125 
1350,2675.2421875 
1360,2675.2421875 
1370,2675.2421875 
1380,2675.2421875 
1390,2675.2421875 
1400,2675.2421875 
1410,2675.2421875 
1420,2675.2421875 
1430,2675.2421875 
1440,2675.2421875 
1460,2675.2421875 
1470,2675.2421875 
1480,2675.2421875 
1490,2675.2421875 
1500,2675.2421875 
1510,2675.2421875 
1520,2675.2421875 
1530,2675.2421875 
1540,2675.2421875 
1549,2675.2421875 
