time,recvpackets@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
10,3167 
20,5749 
30,6115 
40,6115 
50,7358 
60,7358 
70,7442 
80,7442 
100,7442 
110,7442 
120,7442 
130,7442 
140,7442 
150,7744 
160,7744 
170,7744 
180,7744 
190,7744 
200,7744 
220,7744 
230,7744 
240,7744 
250,7744 
260,7991 
270,7991 
280,7991 
290,7991 
300,7998 
310,7998 
320,8188 
330,8188 
350,8188 
360,8188 
370,8188 
380,8188 
390,8188 
400,8188 
410,8188 
420,8188 
430,8188 
440,8188 
450,8188 
470,8188 
480,8302 
490,8302 
500,8302 
510,8302 
520,8302 
530,8302 
540,8302 
550,8302 
560,8302 
570,8302 
580,8302 
600,8302 
610,8302 
620,8302 
630,8302 
640,8302 
650,8302 
660,8302 
670,8302 
680,8302 
690,8302 
700,8302 
720,8302 
730,8302 
740,8302 
750,8302 
760,8302 
770,8302 
780,8302 
790,8302 
800,8302 
810,8302 
820,8302 
840,8302 
850,8302 
860,8302 
870,8302 
880,8302 
890,8302 
900,8302 
910,8302 
920,8302 
930,8302 
940,8302 
960,8302 
970,8302 
980,8302 
990,8302 
1000,8302 
1010,8302 
1020,8302 
1030,8302 
1040,8302 
1050,8302 
1060,8302 
1070,8302 
1090,8302 
1100,8302 
1110,8302 
1120,8433 
1130,8433 
1140,8433 
1150,8433 
1160,8433 
1170,8433 
1180,8433 
1190,8433 
1210,8433 
1220,8433 
1230,8433 
1240,8433 
1250,8433 
1260,8433 
1270,8433 
1280,8433 
1290,8433 
1300,8433 
1310,8433 
1330,8433 
1340,8433 
1350,8433 
1360,8433 
1370,8433 
1380,8433 
1390,8433 
1400,8433 
1410,8433 
1420,8433 
1430,8433 
1440,8433 
1460,8433 
1470,8433 
1480,8433 
1490,8433 
1500,8433 
1510,8433 
1520,8433 
1530,8433 
1540,8433 
1549,8433 
