time,recvpackets@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
10,3167 
20,5749.0 
30,6115.0 
40,5105.0 
50,7358.0 
60,4884.0 
70,7442.0 
80,5187.0 
100,5801.0 
110,6796.0 
120,5414.0 
130,7253.0 
140,5285.0 
150,7744.0 
160,5063.0 
170,6676.0 
180,4899.0 
190,7509.0 
200,5250.0 
220,6770.0 
230,5853.0 
240,7299.0 
250,4824.0 
260,7991.0 
270,5728.0 
280,6697.0 
290,5446.0 
300,7998.0 
310,3827.0 
320,8188.0 
330,4908.0 
350,7354.0 
360,5319.0 
370,6836.0 
380,5646.0 
390,7991.0 
400,7323.0 
410,5484.0 
420,8062.0 
430,5822.0 
440,6777.0 
450,7152.0 
470,5415.0 
480,8302.0 
490,4353.0 
500,7360.0 
510,6652.0 
520,6836.0 
530,6996.0 
540,5754.0 
550,7437.0 
560,5322.0 
570,8224.0 
580,4367.0 
600,7895.0 
610,5818.0 
620,6514.0 
630,6756.0 
640,5603.0 
650,6931.0 
660,6.2e3 
670,5901.0 
680,7338.0 
690,5845.0 
700,6634.0 
720,7137.0 
730,4955.0 
740,7902.0 
750,6799.0 
760,6735.0 
770,6397.0 
780,5551.0 
790,8134.0 
800,8266.0 
810,5343.0 
820,7236.0 
840,5318.0 
850,7318.0 
860,5277.0 
870,7367.0 
880,5994.0 
890,7120.0 
900,4601.0 
910,7458.0 
920,5518.0 
930,7937.0 
940,7258.0 
960,5380.0 
970,7304.0 
980,5328.0 
990,7937.0 
1000,6292.0 
1010,6709.0 
1020,6839.0 
1030,5734.0 
1040,6486.0 
1050,6058.0 
1060,8183.0 
1070,5801.0 
1090,6754.0 
1100,7673.0 
1110,5272.0 
1120,8433.0 
1130,5247.0 
1140,7445.0 
1150,7349.0 
1160,5354.0 
1170,6934.0 
1180,5530.0 
1190,7381.0 
1210,8369.0 
1220,5303.0 
1230,7326.0 
1240,7008.0 
1250,5897.0 
1260,8249.0 
1270,5287.0 
1280,7896.0 
1290,7147.0 
1300,5877.0 
1310,7.3e3 
1330,8339.0 
1340,4679.0 
1350,8066.0 
1360,5658.0 
1370,7547.0 
1380,6311.0 
1390,6011.0 
1400,7531.0 
1410,5846.0 
1420,7335.0 
1430,7342.0 
1440,5835.0 
1460,7916.0 
1470,6948.0 
1480,6486.0 
1490,7473.0 
1500,5283.0 
1510,7307.0 
1520,5357.0 
1530,7371.0 
1540,7928.0 
1549,4017.0 
