time,error_connection_closed,error_unknown 
30,0.3, 
40,20.4, 
50,0, 
60,0, 
70,11.8, 
80,12.8, 
90,51.8, 
100,29.8, 
110,65.3, 
120,172.1, 
130,42.1, 
140,0, 
150,0, 
160,0, 
170,175.2, 
180,157, 
190,85.7, 
200,40.2, 
210,0, 
220,0, 
230,54.8, 
240,9.8, 
250,0, 
260,32.5, 
270,0, 
280,0.2, 
290,0, 
300,0, 
310,21.8, 
320,3.2, 
330,94.4, 
340,153.8, 
350,44.7, 
360,0, 
370,4.7, 
380,7.8, 
390,22, 
400,30.5, 
410,54.4, 
420,0, 
430,0, 
440,0, 
450,28.8, 
460,0, 
470,38, 
480,32.7, 
490,0, 
500,0, 
510,44.8, 
520,57.8, 
530,16, 
540,51.4, 
550,108.2, 
560,56.5, 
570,18.4,81.9 
580,0,0 
590,72.6,0 
600,0,0 
610,76.6,0 
620,19.2,0 
630,23.4,0 
640,0,0 
650,123.9,0 
660,25.7,0 
670,0,0 
680,0,0 
690,183.8,0 
700,131.9,0 
710,54.4,0 
720,67.7,0 
730,14.7,0 
740,0,0 
750,0,0 
760,0,0 
770,4.4,0 
780,0,0 
790,45.1,0 
800,0.7,0 
810,50.8,0 
820,24.5,0 
830,82.2,0 
840,12.8,0 
850,20.4,0 
860,108.9,0 
870,84.9,0 
880,16,0 
890,0,0 
900,0,0 
910,97.2,0 
920,148,0 
930,118.3,0 
940,36.6,0 
950,33.8,0 
960,0,0 
970,0,0 
980,0,0 
990,0,0 
1000,66.3,0 
1010,100.1,0 
1020,25.6,0 
1030,9.7,0 
1040,35.4,0 
1050,38.1,0 
1060,6.4,0 
1070,0,0 
1080,0,0 
1090,135.8,0 
1100,32,0 
1110,13,0 
1120,28.5,0 
1130,0,0 
1140,0,0 
1150,93.2,0 
1160,14.6,0 
1170,44.7,0 
1180,11.4,0 
