time,error_connection_closed,error_unknown 
30,3, 
40,207, 
50,207, 
60,207, 
70,325, 
80,453, 
90,971, 
100,1269, 
110,1922, 
120,3643, 
130,4064, 
140,4064, 
150,4064, 
160,4064, 
170,5816, 
180,7386, 
190,8243, 
200,8645, 
210,8645, 
220,8645, 
230,9193, 
240,9291, 
250,9291, 
260,9616, 
270,9616, 
280,9618, 
290,9618, 
300,9618, 
310,9836, 
320,9868, 
330,10812, 
340,12350, 
350,12797, 
360,12797, 
370,12844, 
380,12922, 
390,13142, 
400,13447, 
410,13991, 
420,13991, 
430,13991, 
440,13991, 
450,14279, 
460,14279, 
470,14659, 
480,14986, 
490,14986, 
500,14986, 
510,15434, 
520,16012, 
530,16172, 
540,16686, 
550,17768, 
560,18333, 
570,18517,819 
580,18517,819 
590,19243,819 
600,19243,819 
610,20009,819 
620,20201,819 
630,20435,819 
640,20435,819 
650,21674,819 
660,21931,819 
670,21931,819 
680,21931,819 
690,23769,819 
700,25088,819 
710,25632,819 
720,26309,819 
730,26456,819 
740,26456,819 
750,26456,819 
760,26456,819 
770,26500,819 
780,26500,819 
790,26951,819 
800,26958,819 
810,27466,819 
820,27711,819 
830,28533,819 
840,28661,819 
850,28865,819 
860,29954,819 
870,30803,819 
880,30963,819 
890,30963,819 
900,30963,819 
910,31935,819 
920,33415,819 
930,34598,819 
940,34964,819 
950,35302,819 
960,35302,819 
970,35302,819 
980,35302,819 
990,35302,819 
1000,35965,819 
1010,36966,819 
1020,37222,819 
1030,37319,819 
1040,37673,819 
1050,38054,819 
1060,38118,819 
1070,38118,819 
1080,38118,819 
1090,39476,819 
1100,39796,819 
1110,39926,819 
1120,40211,819 
1130,40211,819 
1140,40211,819 
1150,41143,819 
1160,41289,819 
1170,41736,819 
1180,41850,819 
