time,connect,request 
10,4940.908203125,5175.114013671875 
20,4940.908203125,5175.114013671875 
30,5458.81103515625,5545.89697265625 
40,5458.81103515625,5545.89697265625 
50,5458.81103515625,5545.89697265625 
60,5458.81103515625,5545.89697265625 
70,5458.81103515625,5545.89697265625 
80,5458.81103515625,5545.89697265625 
90,5458.81103515625,5545.89697265625 
100,5458.81103515625,5545.89697265625 
110,5458.81103515625,5545.89697265625 
120,5458.81103515625,6582.666015625 
130,5458.81103515625,6582.666015625 
140,5458.81103515625,6582.666015625 
150,5458.81103515625,6582.666015625 
160,5493.606201171875,6582.666015625 
170,5493.606201171875,6582.666015625 
180,5493.606201171875,6582.666015625 
190,5493.606201171875,6582.666015625 
200,5493.606201171875,6582.666015625 
210,5493.606201171875,6582.666015625 
220,5493.606201171875,6582.666015625 
230,5966.842041015625,6582.666015625 
240,5966.842041015625,6582.666015625 
250,5966.842041015625,6582.666015625 
260,5966.842041015625,6582.666015625 
270,5966.842041015625,6582.666015625 
280,5966.842041015625,6582.666015625 
290,5966.842041015625,6582.666015625 
300,5966.842041015625,6582.666015625 
310,5966.842041015625,6582.666015625 
320,5966.842041015625,7597.051025390625 
330,5966.842041015625,7597.051025390625 
340,8003.333984375,9247.5869140625 
350,12071.29296875,12775.593994140625 
360,12071.29296875,12775.593994140625 
370,12071.29296875,12775.593994140625 
380,12071.29296875,12775.593994140625 
390,12071.29296875,12775.593994140625 
400,12071.29296875,12775.593994140625 
410,12071.29296875,12775.593994140625 
420,12071.29296875,12775.593994140625 
430,12071.29296875,12775.593994140625 
440,12071.29296875,12775.593994140625 
450,12071.29296875,12775.593994140625 
460,12071.29296875,12775.593994140625 
470,12071.29296875,12775.593994140625 
480,12071.29296875,12775.593994140625 
490,12071.29296875,12775.593994140625 
500,12071.29296875,12775.593994140625 
510,12071.29296875,12775.593994140625 
520,12071.29296875,12775.593994140625 
530,12071.29296875,12775.593994140625 
540,12071.29296875,12775.593994140625 
550,12071.29296875,12775.593994140625 
560,12071.29296875,12775.593994140625 
570,12071.29296875,12775.593994140625 
580,12071.29296875,12775.593994140625 
590,12071.29296875,12775.593994140625 
600,12071.29296875,12775.593994140625 
610,12071.29296875,12775.593994140625 
620,12071.29296875,12775.593994140625 
630,12071.29296875,12775.593994140625 
640,12071.29296875,12775.593994140625 
650,12071.29296875,12775.593994140625 
660,12071.29296875,12775.593994140625 
670,12071.29296875,12775.593994140625 
680,12071.29296875,12775.593994140625 
690,12071.29296875,12775.593994140625 
700,12071.29296875,12775.593994140625 
710,12071.29296875,12775.593994140625 
720,12071.29296875,12775.593994140625 
730,12071.29296875,12775.593994140625 
740,12071.29296875,12775.593994140625 
750,12071.29296875,12775.593994140625 
760,12071.29296875,12775.593994140625 
770,12071.29296875,12775.593994140625 
780,12071.29296875,12775.593994140625 
790,12071.29296875,12775.593994140625 
800,12071.29296875,12775.593994140625 
810,12071.29296875,12775.593994140625 
820,12071.29296875,12775.593994140625 
830,12071.29296875,12775.593994140625 
840,12071.29296875,12775.593994140625 
850,12071.29296875,12775.593994140625 
860,12071.29296875,12775.593994140625 
870,12071.29296875,12775.593994140625 
880,12071.29296875,12775.593994140625 
890,12071.29296875,12775.593994140625 
900,12071.29296875,12775.593994140625 
910,12071.29296875,12775.593994140625 
920,12071.29296875,12775.593994140625 
930,12071.29296875,12775.593994140625 
940,12071.29296875,12775.593994140625 
950,12071.29296875,12775.593994140625 
960,12071.29296875,12775.593994140625 
970,12071.29296875,12775.593994140625 
980,12071.29296875,12775.593994140625 
990,12071.29296875,12775.593994140625 
1000,12071.29296875,12775.593994140625 
1010,12071.29296875,12775.593994140625 
1020,12071.29296875,12775.593994140625 
1030,12071.29296875,12775.593994140625 
1040,12071.29296875,12775.593994140625 
1050,12071.29296875,12775.593994140625 
1060,12071.29296875,12775.593994140625 
1070,12071.29296875,12775.593994140625 
1080,12071.29296875,12775.593994140625 
1090,12071.29296875,12775.593994140625 
1100,12071.29296875,12775.593994140625 
1110,12071.29296875,12775.593994140625 
1120,12071.29296875,12775.593994140625 
1130,12071.29296875,12775.593994140625 
1140,12071.29296875,12775.593994140625 
1150,12071.29296875,12775.593994140625 
1160,12071.29296875,12775.593994140625 
1170,12071.29296875,12775.593994140625 
1180,12071.29296875,12775.593994140625 
