time,page 
10,1100 
20,1007.6 
30,1734.9 
40,1257.5 
50,1623.6 
60,1376.4 
70,1793.8 
80,1216.9 
90,1737.3 
100,1252 
110,1449 
120,1383.7 
130,1650 
140,1417.3 
150,1106.9 
160,1423.5 
170,1321.7 
180,1698.9 
190,1547.6 
200,1473 
210,1428.4 
220,1395.7 
230,1703.9 
240,1268.7 
250,1732.7 
260,1207.5 
270,1594.3 
280,1198.2 
290,1086.6 
300,1913.4 
310,1526.1 
320,1473.9 
330,1183.8 
340,1621.6 
350,1476 
360,1446.1 
370,1513.9 
380,1758.6 
390,1049.1 
400,1964.3 
410,1715.5 
420,1311.5 
430,1687 
440,1286.4 
450,1886.2 
460,1124.6 
470,1875.4 
480,1313.6 
490,1786.4 
500,1072.5 
510,1739.6 
520,1367.2 
530,1609.9 
540,1622 
550,1346.2 
560,1224.5 
570,1281 
580,1373 
590,1627 
600,1395.5 
610,1604.5 
620,1512.9 
630,1496.7 
640,1513.6 
650,1415.9 
660,1723.4 
670,1337.5 
680,1309.8 
690,1511 
700,1335.4 
710,1527.4 
720,1487.8 
730,1729.6 
740,1153.7 
750,1846.3 
760,1213.8 
770,1781.8 
780,1409.1 
790,1695.3 
800,1514 
810,1419.6 
820,1480 
830,1586.4 
840,1519.3 
850,1493.9 
860,1604.6 
870,1691.7 
880,1491.7 
890,1359.8 
900,1839 
910,1638.9 
920,1144.8 
930,1604.7 
940,1413.8 
950,1792 
960,1405.8 
970,1575.2 
980,1424.8 
990,1518.2 
1000,1292.4 
1010,1769.7 
1020,1419.7 
1030,1681.9 
1040,1345.3 
1050,1701.9 
1060,1411.6 
1070,1759.3 
1080,1159.2 
1090,1749.7 
1100,1595.9 
1110,1432.9 
1120,1462.3 
1130,1700 
1140,1473.1 
1150,1525.4 
1160,1705.2 
1170,1251.6 
1180,1240.7 
