time,users,connected 
0,952, 
10,2000,1000 
20,2000,0 
30,2003,0 
40,2106,0 
50,2106,0 
60,2106,0 
70,2106,-1000 
80,2106,968 
90,2459,258 
100,2459,-226 
110,2621,105 
120,2621,-105 
130,2736,-96 
140,2736,-691 
150,2736,787 
160,2736,0 
170,2778,0 
180,2829,-168 
190,2829,154 
200,2829,-82 
210,2829,-697 
220,2829,793 
230,2829,-62 
240,2829,62 
250,2829,0 
260,2829,0 
270,2829,98 
280,2829,-98 
290,2829,0 
300,2829,0 
310,2829,-44 
320,2829,44 
330,2944,0 
340,2944,0 
350,2944,0 
360,2944,81 
370,2944,-83 
380,2944,2 
390,2944,0 
400,2944,0 
410,2944,30 
420,2944,-30 
430,2944,0 
440,2944,0 
450,2944,-87 
460,2944,87 
470,2944,-916 
480,2944,912 
490,2944,4 
500,2944,0 
510,2944,-290 
520,2944,130 
530,2944,-461 
540,2944,621 
550,2944,367 
560,2944,-548 
570,2944,181 
580,2944,0 
590,2944,0 
600,2944,0 
610,2944,0 
620,2944,-32 
630,2944,32 
640,2944,0 
650,2944,-84 
660,2944,84 
670,2944,0 
680,2944,0 
690,2992,0 
700,2992,-543 
710,2992,170 
720,2992,206 
730,2992,-833 
740,2992,1000 
750,2992,-924 
760,2992,924 
770,2992,-752 
780,2992,752 
790,2992,0 
800,2992,-7 
810,2992,-25 
820,2992,70 
830,2992,-38 
840,2992,-64 
850,2992,64 
860,2992,-268 
870,2992,-52 
880,2992,-20 
890,2992,340 
900,2992,0 
910,2992,0 
920,2992,0 
930,2992,-128 
940,2992,466 
950,2992,-338 
960,2992,0 
970,2992,0 
980,2992,0 
990,2992,0 
1000,2992,-788 
1010,2992,532 
1020,2992,129 
1030,2992,127 
1040,2992,0 
1050,2992,-459 
1060,2992,459 
1070,2992,-1000 
1080,2992,1000 
1090,2992,208 
1100,2992,-272 
1110,2992,795 
1120,2992,-731 
1130,2992,0 
1140,2992,0 
1150,2992,0 
1160,2992,0 
1170,2992,-31 
1180,2992,-969 
