time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2764.25390625 
10,2764.25390625 
20,2764.25390625 
30,2764.25390625 
40,2764.25390625 
50,2764.25390625 
60,2764.25390625 
70,2764.25390625 
80,2764.25390625 
90,2764.25390625 
110,2764.25390625 
120,2764.25390625 
130,2764.25390625 
140,2764.25390625 
150,2764.25390625 
160,2764.25390625 
170,2764.25390625 
180,2764.25390625 
190,2764.25390625 
200,2764.25390625 
210,2764.25390625 
230,2764.25390625 
240,2764.25390625 
250,2764.25390625 
260,2764.25390625 
270,2764.25390625 
280,2764.25390625 
290,2764.25390625 
300,2764.25390625 
310,2764.25390625 
320,2764.25390625 
330,2764.25390625 
350,2764.25390625 
360,2764.25390625 
370,2764.25390625 
380,2764.25390625 
390,2764.25390625 
400,2764.25390625 
410,2764.25390625 
420,2764.25390625 
430,2764.25390625 
440,2764.25390625 
450,2764.25390625 
470,2764.25390625 
480,2764.25390625 
490,2764.25390625 
500,2764.25390625 
510,2764.25390625 
520,2764.25390625 
530,2764.25390625 
540,2764.25390625 
550,2764.25390625 
560,2764.25390625 
570,2764.25390625 
590,2764.25390625 
600,2764.25390625 
610,2764.25390625 
620,2764.25390625 
630,2764.25390625 
640,2764.25390625 
650,2764.25390625 
660,2764.25390625 
670,2764.25390625 
680,2764.25390625 
690,2764.25390625 
700,2764.25390625 
720,2764.25390625 
730,2764.25390625 
740,2764.25390625 
750,2764.25390625 
760,2764.25390625 
770,2764.25390625 
780,2764.25390625 
790,2764.25390625 
800,2764.25390625 
810,2764.25390625 
830,2764.25390625 
840,2764.25390625 
850,2764.25390625 
860,2764.25390625 
870,2764.25390625 
880,2764.25390625 
890,2764.25390625 
900,2764.25390625 
910,2764.25390625 
920,2764.25390625 
930,2764.25390625 
940,2764.25390625 
960,2764.25390625 
970,2764.25390625 
980,2764.25390625 
990,2764.25390625 
1000,2764.25390625 
1010,2764.25390625 
1020,2764.25390625 
1030,2764.25390625 
1040,2764.25390625 
1050,2764.25390625 
1060,2764.25390625 
1080,2764.25390625 
1090,2764.25390625 
1100,2764.25390625 
1110,2764.25390625 
1120,2764.25390625 
1130,2764.25390625 
1140,2764.25390625 
1150,2764.25390625 
1160,2764.25390625 
1170,2764.25390625 
1180,2764.25390625 
