time,sentpackets@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
10,2160 
20,4575.0 
30,4401.0 
40,5186.0 
50,3872.0 
60,5838.0 
70,4968.0 
80,3722.0 
90,5790.0 
110,4510.0 
120,4065.0 
130,5359.0 
140,4181.0 
150,5080.0 
160,3801.0 
170,5024.0 
180,4808.0 
190,5336.0 
200,4915.0 
210,4307.0 
230,5363.0 
240,4754.0 
250,5207.0 
260,5319.0 
270,3663.0 
280,4911.0 
290,3510.0 
300,5120.0 
310,4157.0 
320,4516.0 
330,4403.0 
350,3940.0 
360,6558.0 
370,4047.0 
380,5220.0 
390,5255.0 
400,5654.0 
410,4659.0 
420,5196.0 
430,4955.0 
440,3523.0 
450,5865.0 
470,4966.0 
480,3802.0 
490,5735.0 
500,5189.0 
510,3638.0 
520,5017.0 
530,5987.0 
540,4272.0 
550,5775.0 
560,5390.0 
570,4.7e3 
590,5181.0 
600,4790.0 
610,4511.0 
620,5681.0 
630,5001.0 
640,4138.0 
650,5147.0 
660,4066.0 
670,5924.0 
680,4615.0 
690,3156.0 
700,5983.0 
720,3368.0 
730,5347.0 
740,5728.0 
750,3642.0 
760,4996.0 
770,5846.0 
780,3766.0 
790,5826.0 
800,5042.0 
810,3339.0 
830,5640.0 
840,5444.0 
850,4310.0 
860,5105.0 
870,5751.0 
880,3836.0 
890,5783.0 
900,5192.0 
910,5325.0 
920,3969.0 
930,5251.0 
940,3755.0 
960,5480.0 
970,4994.0 
980,3998.0 
990,5068.0 
1000,5609.0 
1010,3853.0 
1020,5955.0 
1030,5285.0 
1040,3504.0 
1050,5590.0 
1060,4537.0 
1080,4343.0 
1090,5085.0 
1100,5703.0 
1110,4149.0 
1120,5385.0 
1130,5847.0 
1140,3956.0 
1150,5071.0 
1160,4706.0 
1170,4872.0 
1180,1375.0 
